video_id,video_name,file_name,gloss,phrase,num_words,variations,num_variations,video_length,resolution,frame_rate,duplicate
697,مؤسسة زايد العليا,697_مؤسسة زايد العليا.mp4,مؤسسة زايد العليا,مؤسسة زايد العليا,3,مؤسسه زايد العليا,1,,,,False
698,مسابقة,698_مسابقة.mp4,مسابقة,مسابقة,1,مسابقه|مسابقين|مسابقان|مسابقو|مسابقتا|مسابقات|مسابقون|مسابقتان|مسابقا|مسابقي|مسابقتين|مسابقتي|مسابق,13,,,,False
699,برنامج زايد للاسكان,699_برنامج زايد للاسكان.mp4,برنامج زايد للاسكان,برنامج زايد للاسكان,3,,0,,,,False
700,مساق - مادة,700_مساق - مادة.mp4,مساق,مساق,1,مسقى|مساقا|مساقي|مسقيان|مسقيين|مسقيي|مادة|مسقيا,8,,,,False
701,هيئة,701_هيئة.mp4,هيئة,هيئة,1,هيئت|يهيؤون|تهيئين|يهيئ|هيئتما|تهيءان|يهيؤوا|يهيءا|تهيءوا|تهيءين|يهيئا|هيئتا|هياتم|هيئا|تهيءون|يهيءون|هيئتي|هيئن|يهيئن|تهيئان|يهيئوا|تهيئا|هيئتم|هيانا|تهيؤوا|يهيءوا|هياوا|تهيئي|نهيئ|تهيئن|يهيءان|هيئات|نهيء|هيئنا|تهيئون|تهيءن|هيئتين|هيئتان|هياتما|هيات|تهيئ|اهيء|هيئه|هيئ|هيان|اهيئ|تهيءي|تهيئوا|يهيئان|هيئتن|هيئوا|يهيءن|هياا|يهيء|هياتا|هياتن|تهيءا|تهيء|هيؤوا|هيا|يهيئون|تهيؤون,62,,,,False
702,ثقافة,702_ثقافة.mp4,ثقافة,ثقافة,1,ثقافتا|ثقافتي|ثقافات|ثقافتين|ثقافتان|ثقافه,6,,,,False
703,المحكمة,703_المحكمة.mp4,المحكمة,المحكمة,1,محكمو|محكمه|محكما|المحكمه|محكمات|محكمتا|محكم|محكمتان|محكمتي|محكمي|محكمين|محكمتين|محكمان|محاكم|محكمون,15,,,,False
704,شهادة,704_شهادة.mp4,شهادة,شهادة,1,شهادتين|شهادات|شهادتان|شهاده|شهادتا|شهادتي,6,,,,False
705,جمارك - الجمارك,705_جمارك - الجمارك.mp4,جمارك,جمارك,1,جمارا|جمركين|جمركي|الجمارك|جمركا|جمركان|جمرك|جمار,8,,,,False
706,قسمة,706_قسمة.mp4,قسمة,قسمة,1,تقسم|قسمنا|تقسمون|نقسم|اقساما|تقسمان|يقسمن|يقسم|تقسمي|اقسم|يقسمون|تقسمين|تقسموا|تقسمن|قسمتم|قسمتا|قسمه|يقسمان|قسم|قسمتما|قسمتي|قسمن|قسمتان|قسمت|قسموا|يقسموا|قسما|اقسام|قسمي|قسمين|يقسما|قسمان|قسمتين|قسمتن|قسمات|تقسما,36,,,,False
707,ديوان - الديوان,707_ديوان - الديوان.mp4,ديوان,ديوان,1,ديوانا|ديوانان|ديوانين|ديواني|دواوين|الديوان,6,,,,False
708,تعليم,708_تعليم.mp4,تعليم,تعليم,1,تعاليم|تعليما|تعليمات,3,,,,False
709,سفارة - السفارة,709_سفارة - السفارة.mp4,سفارة,سفارة,1,سفارتا|سفارتين|سفارات|السفارة|سفارتان|سفاره|سفارتي,7,,,,False
710,هيئة الإمارات للهوية,710_هيئة الإمارات للهوية.mp4,هيئة الإمارات للهوية,هيئة الإمارات للهوية,3,هيئه الامارات للهويه,1,,,,False
711,ممحاة,711_ممحاة.mp4,ممحاة,ممحاة,1,ممحاتان|مماح|ممحاتا|ممحاه|ممحاتي|مماحي|ممحاتين,7,,,,False
712,لغة إنجليزية,712_لغة إنجليزية.mp4,لغة إنجليزية,لغة إنجليزية,2,لغه انجليزيه,1,,,,False
713,جامعة الإمارات العربية,713_جامعة الإمارات العربية.mp4,جامعة الإمارات العربية,جامعة الإمارات العربية,3,جامعه الامارات العربيه,1,,,,False
714,ممتاز,714_ممتاز.mp4,ممتاز,ممتاز,1,ممتازه|ممتازين|ممتازي|ممتازتين|ممتازتا|ممتازتان|ممتازتي|ممتازان|ممتازا,9,,,,False
715,كلية زايد العسكرية,715_كلية زايد العسكرية.mp4,كلية زايد العسكرية,كلية زايد العسكرية,3,كليه زايد العسكريه,1,,,,False
716,امتحان,716_امتحان.mp4,امتحان,امتحان,1,امتحانين|امتحانا|امتحانان|امتحانات|امتحاني,5,,,,False
717,المجلس الوطني الاتحادي,717_المجلس الوطني الاتحادي.mp4,المجلس الوطني الاتحادي,المجلس الوطني الاتحادي,3,,0,,,,False
718,تاريخ,718_تاريخ.mp4,تاريخ,تاريخ,1,تاريخا|تواريخ|تاريخان|تاريخين|تاريخي,5,,,,True
719,الهيئة العامة للشؤون الإسلامية,719_الهيئة العامة للشؤون الإسلامية.mp4,الهيئة العامة للشؤون الإسلامية,الهيئة العامة للشؤون الإسلامية,4,الهيئه العامه للشؤون الاسلاميه,1,,,,False
720,مستطيل,720_مستطيل.mp4,مستطيل,مستطيل,1,مستطيلو|مستطيلتان|مستطيلون|مستطيلي|مستطيلا|مستطيلتي|مستطيلين|مستطيلان|مستطيلتين|مستطيلتا|مستطيله|مستطيلات,12,,,,False
